 * Running on http://0.0.0.0:5999/ (Press CTRL+C to quit)
127.0.0.1 - - [01/Apr/2017 11:24:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:24:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:25:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:25:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:25:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:25:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:25:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:25:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:26:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:26:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:26:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:26:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:26:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:26:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:27:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:27:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:27:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:27:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:27:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:27:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:28:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:28:10] "GET / HTTP/1.1" 200 -
